game_id,num_interactions,publisher,genres,title,release_date,tags,price,specs,developer
60,348,Valve,['Action'],Ricochet,2000-11-01,"['Action', 'FPS', 'Multiplayer', 'First-Person', 'Cyberpunk', 'Classic', 'Space', 'Sci-fi', 'Shooter', 'Conspiracy', 'Memes', 'Platformer', 'Psychological Horror']",4.99,"['Multi-player', 'Valve Anti-Cheat enabled']",Valve
220,3552,Valve,['Action'],Half-Life 2,2004-11-16,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'Classic', 'Story Rich', 'Shooter', 'Adventure', 'First-Person', 'Dystopian', 'Atmospheric', 'Zombies', 'Aliens', 'Great Soundtrack', 'Silent Protagonist', 'Physics', 'Multiplayer', 'Horror', 'Moddable', 'Puzzle']",9.99,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Partial Controller Support', 'Steam Cloud', 'Includes Source SDK']",Valve
320,741,Valve,['Action'],Half-Life 2: Deathmatch,2004-11-01,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Sci-fi', 'First-Person', 'Physics', 'Competitive', 'Funny', 'Co-op', 'Adventure', 'Atmospheric']",4.99,"['Multi-player', 'Valve Anti-Cheat enabled', 'Includes Source SDK']",Valve
380,869,Valve,['Action'],Half-Life 2: Episode One,2006-06-01,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'First-Person', 'Story Rich', 'Shooter', 'Classic', 'Adventure', 'Dystopian', 'Aliens', 'Zombies', 'Episodic', 'Atmospheric', 'Short', 'Great Soundtrack', 'Silent Protagonist', 'Puzzle', 'Cinematic', 'Moddable']",7.99,"['Single-player', 'Steam Achievements', 'Captions available', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Includes Source SDK', 'Commentary available']",Valve
420,98,Valve,['Action'],Half-Life 2: Episode Two,2007-10-10,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'First-Person', 'Story Rich', 'Classic', 'Adventure', 'Aliens', 'Atmospheric', 'Zombies', 'Great Soundtrack', 'Silent Protagonist', 'Dystopian', 'Post-apocalyptic', 'Puzzle', 'Episodic', 'Horror', 'Multiplayer']",7.99,"['Single-player', 'Steam Achievements', 'Captions available', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Includes Source SDK', 'Commentary available']",Valve
1002,14,Mark Healey,['Indie'],Rag Doll Kung Fu,2005-10-12,"['Indie', 'Fighting', 'Multiplayer']",9.99,"['Single-player', 'Multi-player']",Mark Healey
1500,120,Introversion Software,"['Indie', 'Strategy']",Darwinia,2005-07-14,"['Strategy', 'Indie', 'RTS', 'Singleplayer', 'Retro', 'Story Rich', 'Action', 'Top-Down']",9.99,['Single-player'],Introversion Software
1630,81,Strategy First,['Strategy'],Disciples II: Rise of the Elves,2006-07-06,"['Strategy', 'Turn-Based Strategy', 'Fantasy', 'Turn-Based', 'Classic', 'RPG', 'Dark Fantasy', 'Atmospheric']",6.99,"['Single-player', 'Multi-player', 'Co-op']",Strategy First
1640,134,Strategy First,['Strategy'],Disciples II: Gallean's Return,2006-07-06,"['Turn-Based Strategy', 'Strategy', 'Classic', 'Atmospheric', 'Dark Fantasy', 'Turn-Based', 'Fantasy', 'Tactical', 'RPG', 'Gothic', 'Great Soundtrack', 'Multiplayer', 'Isometric']",6.99,"['Single-player', 'Multi-player', 'Co-op']",Strategy First
2450,130,Ubisoft,['Action'],Bloody Good Time,2010-10-29,"['Action', 'FPS', 'Multiplayer', 'Comedy', 'Funny', 'Shooter', 'Gore', 'First-Person']",4.99,"['Single-player', 'Multi-player', 'Steam Achievements']",Outerlight Ltd.
2500,177,Frozenbyte,['Action'],Shadowgrounds,2006-05-08,"['Action', 'Sci-fi', 'Top-Down Shooter', 'Shooter', 'Local Co-Op', 'Singleplayer', 'Aliens', 'Co-op', 'Top-Down', 'Horror', 'Isometric', 'Adventure', 'Gore']",6.99,"['Single-player', 'Shared/Split Screen', 'Steam Trading Cards']",Frozenbyte
