item_id,n_interactions,release_year
10,9735,2000
20,6334,1999
30,3465,2003
40,3274,2001
50,6289,1999
60,3309,2000
70,7750,1998
130,6206,2001
300,4978,2010
240,24220,2004
3830,3853,2005
2630,780,2005
3900,3189,2005
34440,3189,
3920,2335,2005
6400,105,2006
6910,3530,2000
7670,10272,2007
409710,10272,2016
220,18307,2004
320,15854,2004
340,19826,2005
360,13327,2006
380,13275,2006
400,18774,2007
420,13060,2007
9340,6355,
228200,7816,
11450,2802,2007
7940,1815,2007
4700,4020,2006
12900,4560,2008
13250,950,1998
16100,31,2006
15700,3044,1997
15710,1434,1998
17330,1648,2008
17340,1648,
22000,2621,2008
500,6585,2008
4560,7576,2006
17460,3264,2008
10500,4263,2009
24740,7152,2009
22200,1290,2009
26800,2706,2009
1250,14216,2009
35420,14000,2009
3590,2635,2009
8880,834,2002
8890,785,2005
23120,242,
35700,3071,2009
10140,78,2006
35010,164,
35140,7115,2010
29180,1112,2009
15520,512,2009
32370,5904,2003
37700,56,
6020,4346,2003
24860,1415,
39530,844,
550,37044,2009
223530,37044,
8980,9121,2009
41500,3219,2009
20900,5958,2008
10180,5963,2009
10190,5963,
17450,1763,2009
3170,525,2009
25900,591,2008
31410,485,
24980,4311,2010
8850,9003,2010
409720,9003,2016
46000,180,2010
33230,3579,2010
20820,970,2010
47700,671,2010
24960,4849,2010
43110,11237,
8190,16272,2010
49600,1691,2010
31220,1545,
31230,1545,
31240,1545,
31250,1545,
31260,1545,
21090,3589,2005
21110,3589,
21120,3589,
49400,219,
33910,14644,
33930,15084,2010
219540,15079,
17410,10846,2009
205790,49571,
50130,4311,2011
62100,265,2010
31280,7653,2010
57300,8557,2010
21970,757,
8930,15303,2010
41000,2937,2009
41050,1948,2001
41060,1948,2002
227780,1948,2014
18040,372,2010
22380,13131,2010
42700,5637,2010
42710,5637,
62000,238,2010
40800,8521,2010
9500,564,2004
18700,1030,2009
31270,1416,
58200,264,2010
70400,957,2010
41300,1323,2009
41800,1360,2009
42500,701,2010
49900,540,2010
55000,274,2010
34330,5591,
63200,1136,2011
99810,1220,
620,24465,2011
42910,12239,2011
15500,435,2008
15540,368,
18500,1331,2008
26500,1272,2009
35460,1105,2010
38700,1254,2010
