game_id,title,release_year,n_interactions
212680,FTL: Faster Than Light,2012.0,8978
316010,Magic Duels,2015.0,7712
6060,"Star Wars: Battlefront 2 (Classic, 2005)",2005.0,7416
8930,Sid Meier's Civilization® V,2010.0,7334
231430,Company of Heroes 2,2013.0,6967
65980,Sid Meier's Civilization®: Beyond Earth™,2014.0,6429
200510,XCOM: Enemy Unknown,2012.0,6375
239140,Dying Light,2015.0,6154
206420,Saints Row IV,2013.0,5991
221910,The Stanley Parable,2013.0,5921
282070,This War of Mine,2014.0,5229
504370,Battlerite,2017.0,4961
219990,Grim Dawn,2016.0,4518
242050,Assassin’s Creed® IV Black Flag™,2013.0,3939
374570,Kung Fury,2015.0,3799
230230,Divinity: Original Sin (Classic),2014.0,3681
220,Half-Life 2,2004.0,3552
33930,Arma 2: Operation Arrowhead,2010.0,3399
298110,Far Cry® 4,2014.0,3297
367520,Hollow Knight,2017.0,3271
203140,Hitman: Absolution™,2012.0,3119
50130,Mafia II,2011.0,3075
237990,The Banner Saga,2014.0,3069
204880,Sins of a Solar Empire®: Rebellion,2012.0,2789
299360,Block N Load,2015.0,2746
330840,Game of Thrones - A Telltale Games Series,2014.0,2739
233130,Shadow Warrior,2013.0,2717
65800,Dungeon Defenders,2011.0,2650
286690,Metro 2033 Redux,2014.0,2587
239160,Thief,2014.0,2550
232090,Killing Floor 2,2016.0,2544
213670,South Park™: The Stick of Truth™,2014.0,2488
582660,Black Desert Online,2017.0,2269
17410,Mirror's Edge™,2009.0,2213
212070,Star Conflict,2013.0,2206
317360,Double Action: Boogaloo,2014.0,2203
276810,Mordheim: City of the Damned,2015.0,2189
278360,A Story About My Uncle,2014.0,2170
313160,Farming Simulator 15,2014.0,2165
2870,X Rebirth,2013.0,2147
473690,Absolver,2017.0,2102
290300,Rebel Galaxy,2015.0,2062
409710,BioShock™ Remastered,2016.0,2041
10500,Empire: Total War™,2009.0,2040
424280,Iron Snout,2016.0,1868
256290,Child of Light,2014.0,1860
57690,Tropico 4,2011.0,1851
8850,BioShock® 2,2010.0,1819
258520,The Vanishing of Ethan Carter,2014.0,1744
363680,Battlefleet Gothic: Armada,2016.0,1725
403190,Planetbase,2015.0,1724
371660,Far Cry® Primal,2016.0,1723
335670,LISA,2014.0,1722
292120,FINAL FANTASY® XIII,2014.0,1722
394510,HELLDIVERS™,2015.0,1705
282440,Quake Live™,2010.0,1677
2600,Vampire: The Masquerade - Bloodlines,2004.0,1665
529180,Dark and Light,2017.0,1625
298240,Red Crucible®: Firestorm,2015.0,1568
227860,Castle Story,2017.0,1551
211500,RaceRoom Racing Experience,2013.0,1498
216150,MapleStory,2012.0,1490
9420,Supreme Commander: Forged Alliance,2011.0,1421
44350,GRID 2,2013.0,1414
282900,Hyperdimension Neptunia Re;Birth1 / 超次次元ゲイム ネプテューヌRe;Birth1 / 超次次元遊戲戰機少女重生1,2015.0,1407
215470,Primal Carnage,2012.0,1361
327690,Gigantic,2017.0,1361
32800,Lord of the Rings: War in the North,2011.0,1355
207230,ArcheBlade™,2014.0,1314
300550,Shadowrun: Dragonfall - Director's Cut,2014.0,1309
425580,The Room Two,2016.0,1298
239070,Hammerwatch,2013.0,1281
232890,Stronghold Crusader 2,2014.0,1246
71340,Sonic Generations Collection,2011.0,1237
219890,Antichamber,2013.0,1220
243470,Watch_Dogs™,2014.0,1213
341940,Hatred,2015.0,1203
31280,Poker Night at the Inventory,2010.0,1192
213850,Magic 2014 — Duels of the Planeswalkers,2013.0,1188
383980,Rivals of Aether,2017.0,1151
290790,Grey Goo,2015.0,1139
436520,Line of Sight,2017.0,1136
19900,Far Cry® 2: Fortune's Edition,2008.0,1135
248820,Risk of Rain,2013.0,1132
287980,Mini Metro,2015.0,1118
257730,Infinity Wars: Animated Trading Card Game,2014.0,1104
331470,Everlasting Summer,2014.0,1097
