release_year,n_interactions_1,n_interactions_2,n_interactions_total
1983,103,0,103
1984,18,0,18
1987,225,0,225
1988,1302,1,1303
1989,360,0,360
1990,1537,31,1568
1991,853,14,867
1992,1160,162,1322
1993,4800,70,4870
1994,5066,156,5222
1995,11170,159,11329
1996,5925,452,6377
1997,17315,129,17444
1998,25448,382,25830
1999,27590,224,27814
2000,28155,690,28845
2001,31218,1118,32336
2002,23913,955,24868
2003,50257,2458,52715
2004,96857,7121,103978
2005,77947,9039,86986
2006,165934,3295,169229
2007,99916,3281,103197
2008,112078,5044,117122
2009,243245,9523,252768
2010,272835,21309,294144
2011,388482,20035,408517
2012,546342,40142,586484
2013,541843,54916,596759
2014,542703,79502,622205
2015,506639,71226,577865
2016,241417,56929,298346
2017,118767,45632,164399
2018,166,32,198
